date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
2021-02-23,R,NA,estimate,0.862010940814075,0.8621853519352519,0.021211288421271877,0.8272917869350694,0.8471985974819107,0.8566546309474872,0.8674402841927318,0.8767251510833458,0.8981451071092618
2021-02-24,R,NA,estimate,0.8973825938512066,0.8974713902038974,0.022335143568744754,0.8610949552810049,0.8820313764108106,0.8919482038261132,0.9028275614885639,0.911935485389413,0.9351279384380745
2021-02-25,R,NA,estimate,0.930848237562685,0.930995047290323,0.023783452044078862,0.8923163226042434,0.9150606628710605,0.9245043355343214,0.9372577526669155,0.9476320716061435,0.9708857840416264
2021-02-26,R,NA,estimate,0.9592522505011409,0.9595561908519791,0.025074657770737897,0.9200505882685421,0.9428195527102985,0.9527172573406788,0.9653461039451704,0.9762824802030745,1.0005473694796012
2021-02-27,R,NA,estimate,0.9803957234590891,0.980758627235617,0.025771366330329292,0.9398186282948295,0.9640061482589505,0.9737049734447987,0.9874330640546288,0.9983026894273778,1.023129900697083
2021-02-28,R,NA,estimate,0.9931764743087756,0.9934919499963413,0.025690638978027265,0.952428540951297,0.9764778209162237,0.9865417040673867,0.9998725531813073,1.0108195922941112,1.0354977884675702
2021-03-01,R,NA,estimate,0.9976471989132247,0.9981303385579541,0.024994948014595755,0.9568040662103999,0.9813275836573299,0.992071299329186,1.0039988474753427,1.0151390699820744,1.039467636476735
2021-03-02,R,NA,estimate,0.996628137099038,0.9963734349210767,0.024125627603209916,0.9575761548188468,0.9802337679018134,0.9901777567178237,1.0022607586834926,1.0123091399662103,1.0361902478112899
2021-03-03,R,NA,estimate,0.9914714552893469,0.9907928599788328,0.023572631350828408,0.9520410630718323,0.9747851329227492,0.9847732979890427,0.9971829220956033,1.006020217019452,1.029274860199378
2021-03-04,R,NA,estimate,0.9844216707972372,0.9842434583480169,0.023578015219349477,0.9450520134914913,0.9685098689292202,0.9789558241257461,0.9902361309474508,0.9998924800491343,1.02188036904602
2021-03-05,R,NA,estimate,0.9802875189256206,0.9793058618691358,0.024007149563203392,0.9399054919403266,0.9628162641595761,0.9739356082041628,0.9856855240064243,0.9947023129450249,1.017060781397353
2021-03-06,R,NA,estimate,0.9782962461954401,0.9778644992005611,0.02450680269670878,0.9374872607718695,0.9609477385781096,0.9718455560591932,0.9841735410913082,0.9946800576212089,1.0176754247789424
2021-03-07,R,NA,estimate,0.980729194242691,0.9808476386346958,0.024766837053379263,0.9396049606320984,0.9640939460332605,0.9746713837396253,0.9874061323296377,0.9983234905373006,1.0204063447132015
2021-03-08,R,NA,estimate,0.9880925557497491,0.9881098946696721,0.024682814945031724,0.9481227428570088,0.9716410295152884,0.9821727576576218,0.9944253038603252,1.0052061534334873,1.0280923021270438
2021-03-09,R,NA,estimate,0.9980507112760629,0.9984361766078437,0.02438576890474158,0.9594855585571194,0.9824715670644033,0.992485865480214,1.003994945853314,1.0150256622665588,1.0390935684988387
2021-03-10,R,NA,estimate,1.0089379044500084,1.0096724891183215,0.024155134752735192,0.9706919465763633,0.9935497590338851,1.003141160379422,1.0156782320156412,1.0257542831909032,1.050609621022822
2021-03-11,R,NA,estimate,1.0187320354527545,1.019011733385117,0.024222706795757207,0.9798655689519701,1.0023408727319665,1.0125945351584413,1.0249926568999408,1.0354275025819362,1.0588338622359543
2021-03-12,R,NA,estimate,1.0232711054132597,1.0234515568368747,0.024565088018212757,0.984384207610825,1.0069814473035303,1.0168427545999128,1.0299293242716836,1.0395462746704904,1.0639796348642367
